Height,Weight,
58.91073204,102.0883264,
65.23001251,141.3058226,
63.36900376,131.0414027,
64.47999743,128.1715112,
61.79309615,129.781407,
65.96801895,156.8020826,
62.85037864,114.9690383,
65.65215644,165.0830012,
61.89023374,111.6761992,
63.67786815,104.1515596,
68.10117224,166.5756608,
61.79887853,106.233687,
63.37145896,128.1181691,
58.89588635,101.6826134,
58.4382491,98.19262093,
60.80979868,126.9154633,
70.12865283,151.2542704,
62.25742965,115.7973934,
61.73509022,107.8668724,
63.05955669,145.5899291,
62.28683837,139.5227077,
61.82747755,122.7661667,
66.34753722,157.3809648,
65.32063203,145.0373756,
66.1038728,148.6451826,
64.52718203,132.6808682,
56.54797498,84.87212365,
62.73928093,138.5304211,
61.58519865,137.4252868,
62.02442483,124.6039406,
65.31133414,140.2667004,
61.20495607,108.2901042,
67.02509352,150.2191759,
60.21116656,119.0375342,
63.93997277,139.4959573,
63.35780516,125.6132382,
63.68506845,132.2829779,
60.28887039,130.440809,
63.40728979,128.8483894,
60.63160012,109.7196963,
67.37359659,146.023295,
66.8727416,158.8551942,
60.04714722,114.6035259,
64.15447227,133.1383556,
63.46166489,128.9509609,
67.24386795,154.0615748,
66.21359451,139.0011336,
64.69282138,138.6808136,
66.19928328,180.6983171,
65.85337582,149.1185284,
65.04952022,145.0735386,
64.47761515,144.6382457,
62.54007732,139.4786439,
61.59623162,129.9771492,
60.95032891,117.4225887,
63.5532238,137.4920704,
62.24834635,138.3824133,
66.19059084,141.2719561,
62.54805798,123.7128539,
66.62983432,145.5947116,
59.60856014,109.813156,
64.49339476,159.4560658,
64.9365559,152.419352,
61.37925849,141.4274506,
66.07078721,147.7523301,
63.91443166,131.5137046,
69.61980602,157.0237338,
67.18153588,156.9508471,
63.39905083,143.8404297,
61.2131715,98.70749259,
59.6678488,126.3552557,
64.08940647,134.2110172,
60.57806288,118.2428118,
62.1148664,145.3373594,
56.15945802,90.81525566,
67.44927297,170.8303536,
65.06514463,156.1631269,
65.52885617,138.9895355,
63.14965274,124.1937717,
58.87430067,102.9270775,
66.02123191,141.6562452,
61.52509112,133.5285077,
63.5843105,133.1894038,
59.78676291,116.9048715,
67.14920636,139.5528148,
62.32308708,127.130913,
65.14765956,134.6620247,
70.62859645,170.1484685,
67.38745119,164.8926584,
68.13040881,177.2401312,
63.48845964,124.0528718,
61.16306528,107.2354433,
70.71013953,161.3634843,
65.20885481,137.7030416,
61.35948933,123.4201346,
62.07171519,142.6636194,
65.40488188,144.0259412,
61.82336812,112.0018617,
62.94719725,123.6842386,
64.36303372,133.183927,
64.03853748,147.240564,
69.78833269,167.4376589,
62.82235002,126.816039,
71.99125654,177.3660018,
61.99408654,134.417292,
65.80460587,139.4832096,
60.03061012,104.4973318,
64.49886565,146.125363,
62.04964451,119.8653774,
64.56797941,137.5341643,
60.50431592,116.3819743,
61.21444992,128.2664989,
65.7806083,146.8563543,
60.6742784,115.8050352,
64.78985261,124.1725273,
62.99657931,131.0042845,
63.80948265,142.4217765,
62.27990011,133.2552611,
61.71103191,108.028807,
64.82264546,142.6970393,
65.53508718,146.1355424,
61.33665902,127.34182,
57.10386947,93.5063159,
56.44568503,96.64024466,
60.8155622,132.174817,
61.46478353,137.299169,
61.9240636,126.4316967,
66.66459015,153.9485134,
65.08266578,141.1253511,
63.493143,160.5546039,
64.59028563,140.1760817,
61.02434221,134.1937126,
62.24708076,117.2303372,
65.06012567,140.9852458,
63.21982429,142.9734064,
63.22901952,131.2381262,
63.27892843,134.8275936,
66.05067057,138.9063787,
63.03770494,127.0703939,
